,0,1
196,Dual-Space Analysis of the Sparse Linear Model.,"David P. Wipf,Yi Wu,"
197,Active Comparison of Prediction Models.,"Christoph Sawade,Niels Landwehr,Tobias Scheffer,"
198,Online Regret Bounds for Undiscounted Continuous Reinforcement Learning.,"Ronald Ortner,Daniil Ryabko,"
199,Generalization Bounds for Domain Adaptation.,"Chao Zhang,Lei Zhang,Jieping Ye,"
200,Semi-Crowdsourced Clustering: Generalizing Crowd Labeling by Robust Distance Metric Learning.,"Jinfeng Yi,Rong Jin,Anil K. Jain,Shaili Jain,Tianbao Yang,"
201,Learning curves for multi-task Gaussian process regression.,"Peter Sollich,Simon R. F. Ashton,"
202,Kernel Hyperalignment.,"Alexander Lorbert,Peter J. Ramadge,"
203,Multiple Choice Learning: Learning to Produce Multiple Structured Outputs.,"Abner Guzmán-Rivera,Dhruv Batra,Pushmeet Kohli,"
204,Mixing Properties of Conditional Markov Chains with Unbounded Feature Functions.,"Mathieu Sinn,Bei Chen,"
205,Persistent Homology for Learning Densities with Bounded Support.,"Florian T. Pokorny,Carl Henrik Ek,Hedvig Kjellström,Danica Kragic,"
206,On the Use of Non-Stationary Policies for Stationary Infinite-Horizon Markov Decision Processes.,"Bruno Scherrer,Boris Lesner,"
207,Efficient Spike-Coding with Multiplicative Adaptation in a Spike Response Model.,"Sander M. Bohte,"
208,MAP Inference in Chains using Column Generation.,"David Belanger,Alexandre Passos,Sebastian Riedel,Andrew McCallum,"
209,Bayesian Nonparametric Modeling of Suicide Attempts.,"Francisco J. R. Ruiz,Isabel Valera,Carlos Blanco,Fernando Pérez-Cruz,"
210,Fiedler Random Fields: A Large-Scale Spectral Approach to Statistical Network Modeling.,"Antonino Freno,Mikaela Keller,Marc Tommasi,"
211,Neurally Plausible Reinforcement Learning of Working Memory Tasks.,"Jaldert O. Rombouts,Sander M. Bohte,Pieter R. Roelfsema,"
212,Efficient Monte Carlo Counterfactual Regret Minimization in Games with Many Player Actions.,"Richard G. Gibson,Neil Burch,Marc Lanctot,Duane Szafron,"
213,Repulsive Mixtures.,"Francesca Petralia,Vinayak A. Rao,David B. Dunson,"
214,Fully Bayesian inference for neural models with negative-binomial spiking.,"Jonathan W. Pillow,James G. Scott,"
215,Slice Normalized Dynamic Markov Logic Networks.,"Tivadar Papai,Henry A. Kautz,Daniel Stefankovic,"
216,Meta-Gaussian Information Bottleneck.,"Mélanie Rey,Volker Roth,"
217,Diffusion Decision Making for Adaptive k-Nearest Neighbor Classification.,"Yung-Kyun Noh,Frank Chongwoo Park,Daniel D. Lee,"
218,The Perturbed Variation.,"Maayan Harel,Shie Mannor,"
219,Communication/Computation Tradeoffs in Consensus-Based Distributed Optimization.,"Konstantinos I. Tsianos,Sean F. Lawlor,Michael G. Rabbat,"
