,0
231,"Zygmunt L. Szpak,Wojciech Chojnacki,Anton van den Hengel,"
232,"Ting Yao,Yingwei Pan,Chong-Wah Ngo,Houqiang Li,Tao Mei,"
233,"Luca Del Pero,Susanna Ricco,Rahul Sukthankar,Vittorio Ferrari,"
234,"Florian Bernard,Johan Thunberg,Peter Gemmar,Frank Hertel,Andreas Husch,Jorge Goncalves,"
235,"Yongfang Cheng,Jose A. Lopez,Octavia Camps,Mario Sznaier,"
236,"Antonio Agudo,Francesc Moreno-Noguer,"
237,"Kwang In Kim,James Tompkin,Hanspeter Pfister,Christian Theobalt,"
238,"Shengcai Liao,Yang Hu,Xiangyu Zhu,Stan Z. Li,"
239,"Kaili Zhao,Wen-Sheng Chu,Fernando De la Torre,Jeffrey F. Cohn,Honggang Zhang,"
240,"Chao Liu,Hernando Gomez,Srinivasa Narasimhan,Artur Dubrawski,Michael R. Pinsky,Brian Zuckerbraun,"
241,"Longyin Wen,Dawei Du,Zhen Lei,Stan Z. Li,Ming-Hsuan Yang,"
242,"Jia Xu,Lopamudra Mukherjee,Yin Li,Jamieson Warner,James M. Rehg,Vikas Singh,"
243,"Jiajun Lu,David Forsyth,"
244,"Kai-Fu Yang,Shao-Bing Gao,Yong-Jie Li,"
245,"Chenliang Xu,Shao-Hang Hsieh,Caiming Xiong,Jason J. Corso,"
246,"Lei Zhang,Wei Wei,Yanning Zhang,Chunna Tian,Fei Li,"
247,"Ashish Shrivastava,Mohammad Rastegari,Sumit Shekhar,Rama Chellappa,Larry S. Davis,"
248,"Cenek Albl,Zuzana Kukelova,Tomas Pajdla,"
249,"Daniel Moreno,Kilho Son,Gabriel Taubin,"
250,"Trung Ngo Thanh,Hajime Nagahara,Rin-ichiro Taniguchi,"
251,"Yi Fang,Jin Xie,Guoxian Dai,Meng Wang,Fan Zhu,Tiantian Xu,Edward Wong,"
252,"Liang Du,Haibin Ling,"
253,"Yanhong Bi,Bin Fan,Fuchao Wu,"
254,"Peihua Li,Xiaoxiao Lu,Qilong Wang,"
255,"Huaijin Chen,M. Salman Asif,Aswin C. Sankaranarayanan,Ashok Veeraraghavan,"
256,"Vassileios Balntas,Lilian Tang,Krystian Mikolajczyk,"
257,"Lei Xiao,Felix Heide,Matthew O'Toole,Andreas Kolb,Matthias B. Hullin,Kyros Kutulakos,Wolfgang Heidrich,"
258,"Mauricio Delbracio,Guillermo Sapiro,"
259,"Peng Zhang,Wengang Zhou,Lei Wu,Houqiang Li,"
260,"Wanli Ouyang,Xiaogang Wang,Xingyu Zeng,Shi Qiu,Ping Luo,Yonglong Tian,Hongsheng Li,Shuo Yang,Zhe Wang,Chen-Change Loy,Xiaoou Tang,"
261,"Tat-Jun Chin,Pulak Purkait,Anders Eriksson,David Suter,"
262,"Xinlei Chen,C. Lawrence Zitnick,"
263,"Raghuraman Gopalan,"
264,"Changchang Wu,"
265,"Till Kroeger,Dengxin Dai,Luc Van Gool,"
