,0
255,"Lijie Fan,Wenbing Huang,Chuang Gan,Stefano Ermon,Boqing Gong,Junzhou Huang,"
256,"Chao-Yuan Wu,Manzil Zaheer,Hexiang Hu,R. Manmatha,Alexander J. Smola,Philipp Krähenbühl,"
257,"Ergys Ristani,Carlo Tomasi,"
258,"Chunhui Gu,Chen Sun,David A. Ross,Carl Vondrick,Caroline Pantofaru,Yeqing Li,Sudheendra Vijayanarasimhan,George Toderici,Susanna Ricco,Rahul Sukthankar,Cordelia Schmid,Jitendra Malik,"
259,"Hazel Doughty,Dima Damen,Walterio Mayol-Cuevas,"
260,"Irtiza Hasan,Francesco Setti,Theodore Tsesmelis,Alessio Del Bue,Fabio Galasso,Marco Cristani,"
261,"Peter Anderson,Xiaodong He,Chris Buehler,Damien Teney,Mark Johnson,Stephen Gould,Lei Zhang,"
262,"Duy-Kien Nguyen,Takayuki Okatani,"
263,"Daniela Massiceti,N. Siddharth,Puneet K. Dokania,Philip H.S. Torr,"
264,"Qi Wu,Peng Wang,Chunhua Shen,Ian Reid,Anton van den Hengel,"
265,"Yikang Li,Nan Duan,Bolei Zhou,Xiao Chu,Wanli Ouyang,Xiaogang Wang,Ming Zhou,"
266,"Raymond A. Yeh,Minh N. Do,Alexander G. Schwing,"
267,"Junwei Liang,Lu Jiang,Liangliang Cao,Li-Jia Li,Alexander G. Hauptmann,"
268,"Kiana Ehsani,Roozbeh Mottaghi,Ali Farhadi,"
269,"Zhaowei Cai,Nuno Vasconcelos,"
270,"Yan Huang,Qi Wu,Chunfeng Song,Liang Wang,"
271,"Gordon Christie,Neil Fendley,James Wilson,Ryan Mukherjee,"
272,"Chao Peng,Tete Xiao,Zeming Li,Yuning Jiang,Xiangyu Zhang,Kai Jia,Gang Yu,Jian Sun,"
273,"Yongming Rao,Dahua Lin,Jiwen Lu,Jie Zhou,"
274,"Zizhao Zhang,Yuanpu Xie,Lin Yang,"
275,"Zhuo Hui,Kalyan Sunkavalli,Sunil Hadap,Aswin C. Sankaranarayanan,"
276,"Ruilin Xu,Mohit Gupta,Shree K. Nayar,"
277,"Yochai Blau,Tomer Michaeli,"
278,"Hao Zhou,Jin Sun,Yaser Yacoob,David W. Jacobs,"
279,"Parsa Mirdehghan,Wenzheng Chen,Kiriakos N. Kutulakos,"
280,"Brandon M. Smith,Matthew O'Toole,Mohit Gupta,"
281,"Manel Baradad,Vickie Ye,Adam B. Yedidia,Frédo Durand,William T. Freeman,Gregory W. Wornell,Antonio Torralba,"
282,"Tal Tlusty,Tomer Michaeli,Tali Dekel,Lihi Zelnik-Manor,"
283,"Jie Chen,Cheen-Hau Tan,Junhui Hou,Lap-Pui Chau,He Li,"
284,"Soumyadip Sengupta,Angjoo Kanazawa,Carlos D. Castillo,David W. Jacobs,"
285,"Yu-Sheng Chen,Yu-Ching Wang,Man-Hsin Kao,Yung-Yu Chuang,"
286,"Abhimitra Meka,Maxim Maximov,Michael Zollhöfer,Avishek Chatterjee,Hans-Peter Seidel,Christian Richardt,Christian Theobalt,"
287,"Linguang Zhang,Szymon Rusinkiewicz,"
288,"Meiguang Jin,Givi Meishvili,Paolo Favaro,"
289,"Rushil Anirudh,Hyojin Kim,Jayaraman J. Thiagarajan,K. Aditya Mohan,Kyle Champley,Timo Bremer,"
290,"Yifang Men,Zhouhui Lian,Yingmin Tang,Jianguo Xiao,"
291,"Jiri Fajtl,Vasileios Argyriou,Dorothy Monekosso,Paolo Remagnino,"
292,"Da Pan,Ping Shi,Ming Hou,Zefeng Ying,Sizhe Fu,Yuan Zhang,"
293,"Shuochen Su,Felix Heide,Gordon Wetzstein,Wolfgang Heidrich,"
294,"Pratul P. Srinivasan,Rahul Garg,Neal Wadhwa,Ren Ng,Jonathan T. Barron,"
295,"Naoki Sakakibara,Fumihiko Sakaue,Jun Sato,"
296,"Aviad Levis,Yoav Y. Schechner,Ronen Talmon,"
297,"M. R. Mahesh Mohan,A. N. Rajagopalan,"
298,"Qian Huang,Weixin Zhu,Yang Zhao,Linsen Chen,Yao Wang,Tao Yue,Xun Cao,"
299,"Hakki Can Karaimer,Michael S. Brown,"
300,"Du Tran,Heng Wang,Lorenzo Torresani,Jamie Ray,Yann LeCun,Manohar Paluri,"
301,"Lifeng Fan,Yixin Chen,Ping Wei,Wenguan Wang,Song-Chun Zhu,"
302,"Xiaodong Yang,Pavlo Molchanov,Jan Kautz,"
303,"Waqas Sultani,Chen Chen,Mubarak Shah,"
304,"Yi Zhou,Ling Shao,"
305,"Linjie Yang,Yanran Wang,Xuehan Xiong,Jianchao Yang,Aggelos K. Katsaggelos,"
306,"Li Ding,Chenliang Xu,"
307,"Bing Li,Chia-Wen Lin,Boxin Shi,Tiejun Huang,Wen Gao,C.-C. Jay Kuo,"
308,"Siyang Li,Bryan Seybold,Alexey Vorobyov,Alireza Fathi,Qin Huang,C.-C. Jay Kuo,"
309,"Wen Liu,Weixin Luo,Dongze Lian,Shenghua Gao,"
310,"Kensho Hara,Hirokatsu Kataoka,Yutaka Satoh,"
311,"Yu-Syuan Xu,Tsu-Jui Fu,Hsuan-Kung Yang,Chun-Yi Lee,"
